Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,6.3599099960012,23520115,CEM,"[-1.89609433, -0.71736041]"
1,128,6.3599099960012,23520115,CEM,"[-1.89609433, -0.71736041]"
2,192,6.3599099960012,23520115,CEM,"[-1.89609433, -0.71736041]"
3,256,6.3599099960012,23520115,CEM,"[-1.89609433, -0.71736041]"
4,320,6.3599099960012,23520115,CEM,"[-1.89609433, -0.71736041]"
5,384,6.3599099960012,23520115,CEM,"[-1.89609433, -0.71736041]"
6,448,2.5360755566059976,23520115,CEM,"[-0.30000504, -0.15974963]"
7,512,2.5360755566059976,23520115,CEM,"[-0.30000504, -0.15974963]"
8,576,2.5360755566059976,23520115,CEM,"[-0.30000504, -0.15974963]"
9,640,2.5360755566059976,23520115,CEM,"[-0.30000504, -0.15974963]"
10,704,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
11,768,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
12,832,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
13,896,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
14,960,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
15,1024,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
16,1088,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
17,1152,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
18,1216,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
19,1280,1.1096181601065926,23520115,CEM,"[-0.16647244,  0.03911181]"
20,1344,0.9023627475906015,23520115,CEM,"[-0.03702079, -0.14196098]"
21,1408,0.9023627475906015,23520115,CEM,"[-0.03702079, -0.14196098]"
22,1472,0.1311661572978946,23520115,CEM,"[-0.02311249, -0.02623054]"
23,1536,0.1311661572978946,23520115,CEM,"[-0.02311249, -0.02623054]"
24,1600,0.1311661572978946,23520115,CEM,"[-0.02311249, -0.02623054]"
25,1664,0.1311661572978946,23520115,CEM,"[-0.02311249, -0.02623054]"
26,1728,0.09892801986625033,23520115,CEM,"[-0.0182408 ,  0.02092439]"
27,1792,0.09892801986625033,23520115,CEM,"[-0.0182408 ,  0.02092439]"
28,1856,0.09892801986625033,23520115,CEM,"[-0.0182408 ,  0.02092439]"
29,1920,0.09892801986625033,23520115,CEM,"[-0.0182408 ,  0.02092439]"
30,1984,0.09892801986625033,23520115,CEM,"[-0.0182408 ,  0.02092439]"
31,2000,0.09892801986625033,23520115,CEM,"[-0.0182408 ,  0.02092439]"
