Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,14.67037563698934,23520110,DE,"[-7.82911048, -2.90147296]"
1,16,14.67037563698934,23520110,DE,"[-7.82911048, -2.90147296]"
2,24,14.67037563698934,23520110,DE,"[-7.82911048, -2.90147296]"
3,32,14.67037563698934,23520110,DE,"[-7.82911048, -2.90147296]"
4,40,14.67037563698934,23520110,DE,"[-7.82911048, -2.90147296]"
5,48,14.67037563698934,23520110,DE,"[-7.82911048, -2.90147296]"
6,56,14.183034687494969,23520110,DE,"[3.97887619, 7.14280142]"
7,64,10.497079447677766,23520110,DE,"[-4.87141023, -0.97536177]"
8,72,5.83794939170409,23520110,DE,"[-1.31056816,  0.64827087]"
9,80,5.83794939170409,23520110,DE,"[-1.31056816,  0.64827087]"
10,88,5.83794939170409,23520110,DE,"[-1.31056816,  0.64827087]"
11,96,2.9760566550628735,23520110,DE,"[-0.28786993, -0.2715546 ]"
12,104,2.9760566550628735,23520110,DE,"[-0.28786993, -0.2715546 ]"
13,112,2.9760566550628735,23520110,DE,"[-0.28786993, -0.2715546 ]"
14,120,2.9760566550628735,23520110,DE,"[-0.28786993, -0.2715546 ]"
15,128,2.9760566550628735,23520110,DE,"[-0.28786993, -0.2715546 ]"
16,136,1.4772630603384518,23520110,DE,"[ 0.21475866, -0.00559364]"
17,144,1.4772630603384518,23520110,DE,"[ 0.21475866, -0.00559364]"
18,152,1.4772630603384518,23520110,DE,"[ 0.21475866, -0.00559364]"
19,160,1.4772630603384518,23520110,DE,"[ 0.21475866, -0.00559364]"
20,168,1.2275364605024248,23520110,DE,"[0.17466223, 0.05778894]"
21,176,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
22,184,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
23,192,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
24,200,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
25,208,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
26,216,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
27,224,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
28,232,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
29,240,0.3128891501476798,23520110,DE,"[ 0.01911566, -0.06555105]"
30,248,0.1000070673781619,23520110,DE,"[0.01664087, 0.02253137]"
31,256,0.1000070673781619,23520110,DE,"[0.01664087, 0.02253137]"
32,264,0.1000070673781619,23520110,DE,"[0.01664087, 0.02253137]"
33,272,0.031255858517976964,23520110,DE,"[-0.00919213,  0.00416669]"
34,280,0.031255858517976964,23520110,DE,"[-0.00919213,  0.00416669]"
35,288,0.031255858517976964,23520110,DE,"[-0.00919213,  0.00416669]"
36,296,0.031255858517976964,23520110,DE,"[-0.00919213,  0.00416669]"
37,304,0.02669424373100826,23520110,DE,"[-0.00505885,  0.00710504]"
38,312,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
39,320,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
40,328,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
41,336,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
42,344,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
43,352,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
44,360,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
45,368,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
46,376,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
47,384,0.0004765501353181101,23520110,DE,"[ 9.14436870e-05, -1.41194384e-04]"
48,392,0.0003245357416443717,23520110,DE,"[9.14436870e-05, 6.91022156e-05]"
49,400,0.0003245357416443717,23520110,DE,"[9.14436870e-05, 6.91022156e-05]"
50,408,0.00019413018017333528,23520110,DE,"[-3.86984775e-05, -5.66318420e-05]"
51,416,0.00019413018017333528,23520110,DE,"[-3.86984775e-05, -5.66318420e-05]"
52,424,0.00019413018017333528,23520110,DE,"[-3.86984775e-05, -5.66318420e-05]"
53,432,0.00019413018017333528,23520110,DE,"[-3.86984775e-05, -5.66318420e-05]"
54,440,0.00019413018017333528,23520110,DE,"[-3.86984775e-05, -5.66318420e-05]"
55,448,0.00019413018017333528,23520110,DE,"[-3.86984775e-05, -5.66318420e-05]"
56,456,9.018612239986012e-05,23520110,DE,"[-1.78388780e-05, -2.64169751e-05]"
57,464,9.018612239986012e-05,23520110,DE,"[-1.78388780e-05, -2.64169751e-05]"
58,472,9.018612239986012e-05,23520110,DE,"[-1.78388780e-05, -2.64169751e-05]"
59,480,9.018612239986012e-05,23520110,DE,"[-1.78388780e-05, -2.64169751e-05]"
60,488,9.018612239986012e-05,23520110,DE,"[-1.78388780e-05, -2.64169751e-05]"
61,496,9.018612239986012e-05,23520110,DE,"[-1.78388780e-05, -2.64169751e-05]"
62,504,6.015296584793717e-05,23520110,DE,"[-1.75371025e-05, -1.20235776e-05]"
63,512,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
64,520,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
65,528,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
66,536,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
67,544,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
68,552,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
69,560,1.644711771975338e-05,23520110,DE,"[ 5.50259465e-06, -1.87915154e-06]"
70,568,1.4497260967250014e-05,23520110,DE,"[-1.81628190e-06, -4.79269307e-06]"
71,576,6.979226896408619e-06,23520110,DE,"[-2.28509453e-06, -9.31000069e-07]"
72,584,6.979226896408619e-06,23520110,DE,"[-2.28509453e-06, -9.31000069e-07]"
73,592,6.979226896408619e-06,23520110,DE,"[-2.28509453e-06, -9.31000069e-07]"
74,600,6.979226896408619e-06,23520110,DE,"[-2.28509453e-06, -9.31000069e-07]"
75,608,6.979226896408619e-06,23520110,DE,"[-2.28509453e-06, -9.31000069e-07]"
76,616,6.979226896408619e-06,23520110,DE,"[-2.28509453e-06, -9.31000069e-07]"
77,624,3.1387907921676117e-06,23520110,DE,"[ 7.76370327e-07, -7.92921396e-07]"
78,632,3.1387907921676117e-06,23520110,DE,"[ 7.76370327e-07, -7.92921396e-07]"
