Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,64,2.6249491583095144,23520109,DE,"[ 14.41984257, -85.16701665]"
1,128,1.233138441181998,23520109,DE,"[ 12.46523242, -11.3387345 ]"
2,192,1.233138441181998,23520109,DE,"[ 12.46523242, -11.3387345 ]"
3,256,1.233138441181998,23520109,DE,"[ 12.46523242, -11.3387345 ]"
4,320,0.814869326504196,23520109,DE,"[ 41.32231776, -23.02517627]"
5,384,0.814869326504196,23520109,DE,"[ 41.32231776, -23.02517627]"
6,448,0.6200656380999501,23520109,DE,"[-14.96142334,  12.09612688]"
7,512,0.6200656380999501,23520109,DE,"[-14.96142334,  12.09612688]"
8,576,0.5878219802617868,23520109,DE,"[-22.65600036, -30.90106632]"
9,640,0.5878219802617868,23520109,DE,"[-22.65600036, -30.90106632]"
10,704,0.5496530806642979,23520109,DE,"[12.6965859 , 36.38337999]"
11,768,0.4153522871810139,23520109,DE,"[-11.74158116,  -0.59662734]"
12,832,0.4153522871810139,23520109,DE,"[-11.74158116,  -0.59662734]"
13,896,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
14,960,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
15,1024,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
16,1088,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
17,1152,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
18,1216,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
19,1280,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
20,1344,0.09103150864557696,23520109,DE,"[-3.48820303,  4.7553623 ]"
21,1408,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
22,1472,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
23,1536,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
24,1600,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
25,1664,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
26,1728,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
27,1792,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
28,1856,0.06913515005253823,23520109,DE,"[3.41505287, 4.7553623 ]"
29,1920,0.03977663118075103,23520109,DE,"[ 6.34363495, -8.69586988]"
30,1984,0.03977663118075103,23520109,DE,"[ 6.34363495, -8.69586988]"
31,2000,0.03977663118075103,23520109,DE,"[ 6.34363495, -8.69586988]"
