Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,177.84406364672785,23520108,CEM,"[-1.00390659,  1.6363112 ,  4.48885029,  5.03863531,  0.06465859, -5.12      ,  0.15548739, -2.66466738,  0.61995407,  4.07625652]"
1,16,161.9391700005485,23520108,CEM,"[ 0.01062201,  0.67310619,  1.73406189,  2.67157557,  2.99097331, -5.12      ,  0.78808984, -5.06568362, -2.16127662,  5.12      ]"
2,24,158.8697041322277,23520108,CEM,"[ 0.61135733, -2.17489672, -1.23918368,  1.09334404,  1.14333438, -5.12      ,  0.84956933, -2.96193566, -5.12      ,  4.48488758]"
3,32,146.98830349171635,23520108,CEM,"[ 0.09487972, -1.48691219,  1.51292769,  2.7482075 ,  0.42693604,  0.21243021, -0.20769443, -2.87898744, -1.20908253,  5.12      ]"
4,40,138.86368632686992,23520108,CEM,"[ 2.42755104, -1.38778497,  1.13786906,  2.67750247,  1.90826085, -1.87173486, -0.73684593, -1.75974253, -1.90249783,  5.07725255]"
5,48,133.4770653081832,23520108,CEM,"[-2.15413086,  1.12293991,  0.02355044, -0.69751097, -0.29183592, -1.71522466,  0.78875783, -5.12      ,  0.68147518,  3.6957461 ]"
6,56,133.4770653081832,23520108,CEM,"[-2.15413086,  1.12293991,  0.02355044, -0.69751097, -0.29183592, -1.71522466,  0.78875783, -5.12      ,  0.68147518,  3.6957461 ]"
7,64,122.57074859000647,23520108,CEM,"[-2.33481712,  0.91326578,  2.971703  ,  1.69294277,  1.16490795, -3.83966319, -0.63307757, -0.97402112,  0.93849679,  5.12      ]"
8,72,122.57074859000647,23520108,CEM,"[-2.33481712,  0.91326578,  2.971703  ,  1.69294277,  1.16490795, -3.83966319, -0.63307757, -0.97402112,  0.93849679,  5.12      ]"
9,80,122.57074859000647,23520108,CEM,"[-2.33481712,  0.91326578,  2.971703  ,  1.69294277,  1.16490795, -3.83966319, -0.63307757, -0.97402112,  0.93849679,  5.12      ]"
10,88,119.97468693273677,23520108,CEM,"[-0.19611953, -0.05499186,  2.02145796,  2.3780306 ,  2.22914728, -4.237427  ,  0.96720622, -2.110114  ,  0.6840862 ,  3.78015067]"
11,96,119.97468693273677,23520108,CEM,"[-0.19611953, -0.05499186,  2.02145796,  2.3780306 ,  2.22914728, -4.237427  ,  0.96720622, -2.110114  ,  0.6840862 ,  3.78015067]"
12,104,119.97468693273677,23520108,CEM,"[-0.19611953, -0.05499186,  2.02145796,  2.3780306 ,  2.22914728, -4.237427  ,  0.96720622, -2.110114  ,  0.6840862 ,  3.78015067]"
13,112,119.97468693273677,23520108,CEM,"[-0.19611953, -0.05499186,  2.02145796,  2.3780306 ,  2.22914728, -4.237427  ,  0.96720622, -2.110114  ,  0.6840862 ,  3.78015067]"
14,120,103.53372280442294,23520108,CEM,"[-0.9396552 ,  0.75923515,  1.21621102,  1.96970039,  0.97840829, -1.98499288, -0.33991926, -3.93869472,  1.24703763,  3.62002379]"
15,128,103.53372280442294,23520108,CEM,"[-0.9396552 ,  0.75923515,  1.21621102,  1.96970039,  0.97840829, -1.98499288, -0.33991926, -3.93869472,  1.24703763,  3.62002379]"
16,136,103.53372280442294,23520108,CEM,"[-0.9396552 ,  0.75923515,  1.21621102,  1.96970039,  0.97840829, -1.98499288, -0.33991926, -3.93869472,  1.24703763,  3.62002379]"
17,144,88.57527167551287,23520108,CEM,"[-0.96616512,  0.96334341,  2.07460608,  2.2620746 , -0.16725535, -4.11249398, -0.11185106, -2.90218303,  0.6778308 ,  2.83137235]"
18,152,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
19,160,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
20,168,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
21,176,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
22,184,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
23,192,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
24,200,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
25,208,68.9254006896584,23520108,CEM,"[-1.09567448,  1.00933113,  1.29742944,  2.23749327, -1.09999471, -2.88715572,  0.1182395 , -2.91649771,  0.04963212,  3.02314154]"
