Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,12.78693396498641,23520116,DE,"[-1.16080239,  2.11018368]"
1,16,10.633274136597493,23520116,DE,"[-0.2397391 , -0.96116485]"
2,24,10.633274136597493,23520116,DE,"[-0.2397391 , -0.96116485]"
3,32,10.633274136597493,23520116,DE,"[-0.2397391 , -0.96116485]"
4,40,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
5,48,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
6,56,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
7,64,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
8,72,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
9,80,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
10,88,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
11,96,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
12,104,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
13,112,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
14,120,3.3189611068775484,23520116,DE,"[0.12616414, 0.04040758]"
15,128,3.262868922028467,23520116,DE,"[ 0.12616414, -0.03670507]"
16,136,3.262868922028467,23520116,DE,"[ 0.12616414, -0.03670507]"
17,144,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
18,152,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
19,160,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
20,168,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
21,176,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
22,184,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
23,192,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
24,200,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
25,208,1.863759050524319,23520116,DE,"[ 1.04987777, -0.03727852]"
26,216,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
27,224,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
28,232,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
29,240,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
30,248,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
31,256,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
32,264,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
33,272,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
34,280,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
35,288,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
36,296,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
37,304,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
38,312,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
39,320,1.1297100747106015,23520116,DE,"[0.02337418, 0.98337987]"
40,328,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
41,336,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
42,344,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
43,352,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
44,360,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
45,368,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
46,376,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
47,384,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
48,392,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
49,400,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
50,408,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
51,416,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
52,424,0.013421474978471792,23520116,DE,"[-0.00787482,  0.00237721]"
53,432,0.013388033905876284,23520116,DE,"[-0.001117  ,  0.00813937]"
54,440,0.0015150257159461944,23520116,DE,"[ 0.00256465, -0.0010292 ]"
55,448,0.0015150257159461944,23520116,DE,"[ 0.00256465, -0.0010292 ]"
56,456,0.0015150257159461944,23520116,DE,"[ 0.00256465, -0.0010292 ]"
57,464,0.0015150257159461944,23520116,DE,"[ 0.00256465, -0.0010292 ]"
58,472,0.0015150257159461944,23520116,DE,"[ 0.00256465, -0.0010292 ]"
59,480,0.0014049386944634534,23520116,DE,"[0.00259453, 0.00059176]"
60,488,0.0014049386944634534,23520116,DE,"[0.00259453, 0.00059176]"
61,496,0.0014049386944634534,23520116,DE,"[0.00259453, 0.00059176]"
62,504,0.0014049386944634534,23520116,DE,"[0.00259453, 0.00059176]"
63,512,0.0014049386944634534,23520116,DE,"[0.00259453, 0.00059176]"
64,520,0.00011196998591600504,23520116,DE,"[-0.00015823,  0.0007344 ]"
65,528,0.00011196998591600504,23520116,DE,"[-0.00015823,  0.0007344 ]"
66,536,0.00011196998591600504,23520116,DE,"[-0.00015823,  0.0007344 ]"
67,544,5.793332393366768e-05,23520116,DE,"[0.00050908, 0.00018125]"
68,552,5.793332393366768e-05,23520116,DE,"[0.00050908, 0.00018125]"
69,560,5.4232655351427184e-05,23520116,DE,"[-0.00043502, -0.00029003]"
70,568,4.023593016100335e-05,23520116,DE,"[0.00019487, 0.000406  ]"
71,576,7.2264265398303e-06,23520116,DE,"[1.77368630e-04, 7.04652098e-05]"
72,584,7.2264265398303e-06,23520116,DE,"[1.77368630e-04, 7.04652098e-05]"
73,592,7.2264265398303e-06,23520116,DE,"[1.77368630e-04, 7.04652098e-05]"
74,600,7.2264265398303e-06,23520116,DE,"[1.77368630e-04, 7.04652098e-05]"
75,608,3.132048341569771e-06,23520116,DE,"[-1.04027969e-04,  7.04652098e-05]"
76,616,3.132048341569771e-06,23520116,DE,"[-1.04027969e-04,  7.04652098e-05]"
77,624,3.132048341569771e-06,23520116,DE,"[-1.04027969e-04,  7.04652098e-05]"
78,632,3.132048341569771e-06,23520116,DE,"[-1.04027969e-04,  7.04652098e-05]"
79,640,1.8633196319228773e-06,23520116,DE,"[ 2.86072012e-05, -9.25944645e-05]"
80,648,4.1812690199094504e-08,23520116,DE,"[-1.11770684e-05,  9.26450166e-06]"
81,656,4.1812690199094504e-08,23520116,DE,"[-1.11770684e-05,  9.26450166e-06]"
82,664,4.1812690199094504e-08,23520116,DE,"[-1.11770684e-05,  9.26450166e-06]"
83,672,4.1812690199094504e-08,23520116,DE,"[-1.11770684e-05,  9.26450166e-06]"
84,680,4.1812690199094504e-08,23520116,DE,"[-1.11770684e-05,  9.26450166e-06]"
85,688,4.1812690199094504e-08,23520116,DE,"[-1.11770684e-05,  9.26450166e-06]"
86,696,3.988618502148711e-08,23520116,DE,"[-1.41768041e-05, -2.55888013e-07]"
87,704,3.098724477013093e-08,23520116,DE,"[-1.14234835e-05,  5.06911809e-06]"
88,712,3.098724477013093e-08,23520116,DE,"[-1.14234835e-05,  5.06911809e-06]"
89,720,3.098724477013093e-08,23520116,DE,"[-1.14234835e-05,  5.06911809e-06]"
90,728,1.9234210668628293e-08,23520116,DE,"[2.16118207e-06, 9.60623659e-06]"
91,736,1.9234210668628293e-08,23520116,DE,"[2.16118207e-06, 9.60623659e-06]"
92,744,1.029988538903126e-08,23520116,DE,"[2.0034764e-06, 6.9211911e-06]"
93,752,1.029988538903126e-08,23520116,DE,"[2.0034764e-06, 6.9211911e-06]"
94,760,1.029988538903126e-08,23520116,DE,"[2.0034764e-06, 6.9211911e-06]"
95,768,1.029988538903126e-08,23520116,DE,"[2.0034764e-06, 6.9211911e-06]"
96,776,1.0036160347226541e-08,23520116,DE,"[-6.87083565e-06,  1.83823549e-06]"
97,784,8.276280993868568e-09,23520116,DE,"[3.45511368e-06, 5.45701299e-06]"
98,792,9.57314227889583e-10,23520116,DE,"[-2.05117256e-06,  7.86161833e-07]"
99,800,9.57314227889583e-10,23520116,DE,"[-2.05117256e-06,  7.86161833e-07]"
100,808,9.57314227889583e-10,23520116,DE,"[-2.05117256e-06,  7.86161833e-07]"
101,816,3.6766678590538504e-10,23520116,DE,"[-1.34124792e-06, -2.32984457e-07]"
102,824,3.6766678590538504e-10,23520116,DE,"[-1.34124792e-06, -2.32984457e-07]"
103,832,3.6766678590538504e-10,23520116,DE,"[-1.34124792e-06, -2.32984457e-07]"
104,840,3.6766678590538504e-10,23520116,DE,"[-1.34124792e-06, -2.32984457e-07]"
105,848,2.9386981736934104e-10,23520116,DE,"[-1.21703457e-06,  9.21590575e-09]"
106,856,1.7924861595020047e-10,23520116,DE,"[-9.11919348e-07,  2.68169436e-07]"
107,864,1.0820855322890566e-10,23520116,DE,"[ 7.31620338e-07, -1.00819807e-07]"
108,872,1.0820855322890566e-10,23520116,DE,"[ 7.31620338e-07, -1.00819807e-07]"
109,880,8.694200914760586e-11,23520116,DE,"[4.41972249e-07, 4.92859834e-07]"
110,888,1.5930368135741446e-11,23520116,DE,"[-2.69664708e-07,  8.70760509e-08]"
111,896,5.194067398406332e-12,23520116,DE,"[-1.10891311e-07,  1.17852750e-07]"
112,904,5.194067398406332e-12,23520116,DE,"[-1.10891311e-07,  1.17852750e-07]"
113,912,1.5987211554602254e-12,23520116,DE,"[2.19715411e-08, 8.70760509e-08]"
114,920,1.2150280781497713e-12,23520116,DE,"[-1.15855542e-08,  7.74737209e-08]"
115,928,1.2150280781497713e-12,23520116,DE,"[-1.15855542e-08,  7.74737209e-08]"
116,936,5.968558980384842e-13,23520116,DE,"[-5.37938271e-08,  1.11137523e-08]"
117,944,3.552713678800501e-15,23520116,DE,"[-1.33625020e-09, -4.07870742e-09]"
118,952,3.552713678800501e-15,23520116,DE,"[-1.33625020e-09, -4.07870742e-09]"
119,960,3.552713678800501e-15,23520116,DE,"[-1.33625020e-09, -4.07870742e-09]"
120,968,3.552713678800501e-15,23520116,DE,"[-1.33625020e-09, -4.07870742e-09]"
121,976,3.552713678800501e-15,23520116,DE,"[-1.33625020e-09, -4.07870742e-09]"
122,984,3.552713678800501e-15,23520116,DE,"[-1.33625020e-09, -4.07870742e-09]"
