Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,121.48109272389797,23520108,CEM,"[-2.63261446,  7.97126069]"
1,16,8.847160769751506,23520108,CEM,"[-1.96884707,  3.85816321]"
2,24,2.6759174408004425,23520108,CEM,"[1.82676518, 3.19591944]"
3,32,1.1490818544151942,23520108,CEM,"[2.03451802, 4.1673446 ]"
4,40,1.1490818544151942,23520108,CEM,"[2.03451802, 4.1673446 ]"
5,48,1.1490818544151942,23520108,CEM,"[2.03451802, 4.1673446 ]"
6,56,1.1490818544151942,23520108,CEM,"[2.03451802, 4.1673446 ]"
7,64,1.1490818544151942,23520108,CEM,"[2.03451802, 4.1673446 ]"
8,72,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
9,80,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
10,88,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
11,96,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
12,104,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
13,112,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
14,120,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
15,128,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
16,136,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
17,144,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
18,152,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
19,160,0.04981877377974987,23520108,CEM,"[0.7771981 , 0.60270239]"
20,168,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
21,176,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
22,184,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
23,192,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
24,200,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
25,208,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
26,216,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
27,224,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
28,232,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
29,240,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
30,248,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
31,256,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
32,264,0.04772938929268008,23520108,CEM,"[1.20947998, 1.46904466]"
33,272,0.021583238825654917,23520108,CEM,"[1.00224216, 0.98979982]"
34,280,0.018639466477930678,23520108,CEM,"[1.02426259, 1.03567853]"
35,288,0.018639466477930678,23520108,CEM,"[1.02426259, 1.03567853]"
36,296,0.018639466477930678,23520108,CEM,"[1.02426259, 1.03567853]"
37,304,0.018639466477930678,23520108,CEM,"[1.02426259, 1.03567853]"
38,312,0.018639466477930678,23520108,CEM,"[1.02426259, 1.03567853]"
39,320,0.018639466477930678,23520108,CEM,"[1.02426259, 1.03567853]"
40,328,0.013130423979616616,23520108,CEM,"[0.89797185, 0.81156945]"
41,336,0.013130423979616616,23520108,CEM,"[0.89797185, 0.81156945]"
42,344,0.013130423979616616,23520108,CEM,"[0.89797185, 0.81156945]"
43,352,0.013130423979616616,23520108,CEM,"[0.89797185, 0.81156945]"
44,360,0.009124922868277577,23520108,CEM,"[0.98773314, 0.9850901 ]"
45,368,0.0029094819202590294,23520108,CEM,"[0.97598349, 0.94771398]"
46,376,0.0029094819202590294,23520108,CEM,"[0.97598349, 0.94771398]"
47,384,0.0019121737152432334,23520108,CEM,"[0.98802789, 0.98040487]"
48,392,0.0019121737152432334,23520108,CEM,"[0.98802789, 0.98040487]"
49,400,0.0019121737152432334,23520108,CEM,"[0.98802789, 0.98040487]"
50,408,0.0019121737152432334,23520108,CEM,"[0.98802789, 0.98040487]"
51,416,0.0004450058214169026,23520108,CEM,"[0.99091915, 0.9800167 ]"
52,424,0.0004450058214169026,23520108,CEM,"[0.99091915, 0.9800167 ]"
53,432,0.0004450058214169026,23520108,CEM,"[0.99091915, 0.9800167 ]"
54,440,0.0004450058214169026,23520108,CEM,"[0.99091915, 0.9800167 ]"
55,448,0.00023632083069716447,23520108,CEM,"[0.99246653, 0.98632985]"
56,456,0.00023632083069716447,23520108,CEM,"[0.99246653, 0.98632985]"
57,464,0.00023632083069716447,23520108,CEM,"[0.99246653, 0.98632985]"
58,472,0.00023632083069716447,23520108,CEM,"[0.99246653, 0.98632985]"
59,480,0.00023632083069716447,23520108,CEM,"[0.99246653, 0.98632985]"
60,488,0.00023632083069716447,23520108,CEM,"[0.99246653, 0.98632985]"
61,496,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
62,504,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
63,512,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
64,520,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
65,528,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
66,536,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
67,544,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
68,552,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
69,560,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
70,568,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
71,576,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
72,584,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
73,592,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
74,600,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
75,608,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
76,616,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
77,624,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
78,632,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
79,640,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
80,648,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
81,656,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
82,664,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
83,672,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
84,680,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
85,688,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
86,696,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
87,704,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
88,712,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
89,720,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
90,728,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
91,736,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
92,744,0.00020710684495004941,23520108,CEM,"[0.98862871, 0.97650468]"
