Generation,Num_of_evaluations,Objective_value_fitness_best_i,Random_Seed,Algorithm,Best_Solution
0,8,9.16272570923969,23520115,CEM,"[ 2.64669402, -1.46892357]"
1,16,2.973973375322,23520115,CEM,"[-1.67336618, -0.41691608]"
2,24,0.6477530046106054,23520115,CEM,"[ 0.62544723, -0.50652618]"
3,32,0.05709380907997803,23520115,CEM,"[-0.21755804,  0.0988044 ]"
4,40,0.05709380907997803,23520115,CEM,"[-0.21755804,  0.0988044 ]"
5,48,0.05709380907997803,23520115,CEM,"[-0.21755804,  0.0988044 ]"
6,56,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
7,64,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
8,72,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
9,80,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
10,88,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
11,96,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
12,104,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
13,112,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
14,120,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
15,128,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
16,136,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
17,144,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
18,152,0.021118926750838405,23520115,CEM,"[0.13609435, 0.05096326]"
19,160,0.014672571899200647,23520115,CEM,"[-0.0381058 ,  0.11498052]"
20,168,0.014672571899200647,23520115,CEM,"[-0.0381058 ,  0.11498052]"
21,176,0.004935901695246677,23520115,CEM,"[0.02552364, 0.06545568]"
22,184,0.0018913885752637038,23520115,CEM,"[0.04192175, 0.01157391]"
23,192,0.0018913885752637038,23520115,CEM,"[0.04192175, 0.01157391]"
24,200,0.0018913885752637038,23520115,CEM,"[0.04192175, 0.01157391]"
25,208,0.0018913885752637038,23520115,CEM,"[0.04192175, 0.01157391]"
26,216,0.00013631002361139913,23520115,CEM,"[-0.00122618, -0.01161062]"
27,224,0.00013631002361139913,23520115,CEM,"[-0.00122618, -0.01161062]"
28,232,0.00013631002361139913,23520115,CEM,"[-0.00122618, -0.01161062]"
29,240,1.2307254188932941e-05,23520115,CEM,"[-0.00067083, -0.00344343]"
